text,x1,x2,x3,x4,x5,y,prompt,response,y_hat
"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",0.7520633040149074,0.9869504960853136,-0.4804565533426038,0.5453116489339236,-0.3309431734084737,1,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .

CLASSIFICATION:",1,1
"Hale 's eyes stare knowingly at the viewer , a human sacrifice to an alienated and consumerist culture .",-0.141265609049842,0.7512704660821283,-0.4123199155612272,0.7129119278903512,-0.5437077976426785,1,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

Hale 's eyes stare knowingly at the viewer , a human sacrifice to an alienated and consumerist culture .

CLASSIFICATION:",1,1
"There is now cylindrical symmetry and a net charge per unit length [formula] , yielding for the radial component of the electric field [formula] .",0.1565106953050744,1.0750245139159993,-0.4855655729653313,0.7712076769439327,-0.5695845761331267,1,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

There is now cylindrical symmetry and a net charge per unit length [formula] , yielding for the radial component of the electric field [formula] .

CLASSIFICATION:",0,0
This should be followed by a separate section on how to set the system up in the first place and how to check that it is working properly .,0.3550282315416854,0.1116701559969794,-0.57168379655758,0.0544822603580141,-0.5660345390067675,1,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

This should be followed by a separate section on how to set the system up in the first place and how to check that it is working properly .

CLASSIFICATION:",0,0
National Power was given 70 per cent of the CEGB 's generating capacity in order to give it an economic mix of power .,0.1068813112459216,0.2313529412556298,-0.554732173439171,0.0279368745163252,-0.136883132196539,1,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

National Power was given 70 per cent of the CEGB 's generating capacity in order to give it an economic mix of power .

CLASSIFICATION:",0,0
Two nines are eighteen .,-0.8360769858779805,0.2694936091265517,-0.1152680822408046,0.4615115091707894,-0.2373135328199748,0,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

Two nines are eighteen .

CLASSIFICATION:",0,0
The major auction houses have moved with the times and have found new ways of selling works which in both form and content would have proved an unstable investment a decade ago .,0.5535457677782963,0.6578349543718865,-0.5925536116321793,-0.0727143801096684,-0.5826013804397266,1,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

The major auction houses have moved with the times and have found new ways of selling works which in both form and content would have proved an unstable investment a decade ago .

CLASSIFICATION:",1,1
"It 's right that the Guildford Four have told their stories now to Grant McKee and Ros Franey and First Tuesday , the programme and the producers who dug away , and did much to keep the case alive .",0.9009514561923656,0.2466092084223061,-0.4663293385976655,-0.1930355265442202,-0.1475881959132525,1,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

It 's right that the Guildford Four have told their stories now to Grant McKee and Ros Franey and First Tuesday , the programme and the producers who dug away , and did much to keep the case alive .

CLASSIFICATION:",1,1
That 's the one I saw when I was coming in .,-0.4886712974639113,-0.8747264260857318,-0.3660261234414214,-0.9630908622437652,0.0959520038307223,0,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

That 's the one I saw when I was coming in .

CLASSIFICATION:",0,0
I 'll go and eat your dinner .,-0.6871888337005223,-0.7603044225645035,-0.225601620898677,-0.9630908622437652,-0.2751568719336692,0,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

I 'll go and eat your dinner .

CLASSIFICATION:",0,0
Mm .,-0.9849651380554388,-2.0189464612980155,2.643070361697961,-0.9630908622437652,3.140204502517846,0,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

Mm .

CLASSIFICATION:",0,0
She kept looking over there .,-0.7864476018188278,0.2694936091265517,-0.2103832017277979,0.1765910348878786,-0.3064187605697712,0,"Evaluate whether the following sentence contains metaphorical language.
A word is metaphorical when its meaning in context differs from its basic, concrete, or
physical sense — for example ""keep the case alive"" (alive = not dead → used non-literally),
""a strong argument"" (strong = physical force → used non-literally). This includes
conventional everyday metaphors, not just vivid or literary ones.

Classify the text as one of the following:
    - 0 if the sentence is LITERAL (words are used in their basic, concrete, physical sense)
    - 1 if the sentence contains a METAPHOR (any word is used in a non-literal sense)

Give no other explanation for your classification, only output the label.



Here's the sentence I would like you to classify:

She kept looking over there .

CLASSIFICATION:",0,0
