dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,100,,0.176,0.0,0.176,0.0,300,300,prevalence
misogynistic,deepseek,expert_only,100,129.0,0.093167,0.005362,-0.007333,0.005362,300,300,prevalence
misogynistic,deepseek,expert_only,100,167.0,0.085853,0.004952,-0.003867,0.004952,300,300,prevalence
misogynistic,deepseek,expert_only,100,215.0,0.09998,0.005764,-0.005533,0.005764,300,300,prevalence
misogynistic,deepseek,expert_only,100,278.0,0.097564,0.005632,-0.002067,0.005632,300,300,prevalence
misogynistic,deepseek,expert_only,100,359.0,0.094142,0.005385,-0.012733,0.005385,300,300,prevalence
misogynistic,deepseek,expert_only,100,464.0,0.09378,0.00541,-0.003733,0.00541,300,300,prevalence
misogynistic,deepseek,expert_only,100,599.0,0.103788,0.005986,-0.004733,0.005986,300,300,prevalence
misogynistic,deepseek,expert_only,100,774.0,0.091397,0.005267,0.005667,0.005267,300,300,prevalence
misogynistic,deepseek,expert_only,100,1000.0,0.095986,0.005541,-0.001733,0.005541,300,300,prevalence
misogynistic,deepseek,dsl,100,129.0,0.089299,0.00514,-0.007037,0.00514,300,300,prevalence
misogynistic,deepseek,dsl,100,167.0,0.07849,0.004525,-0.004246,0.004525,300,300,prevalence
misogynistic,deepseek,dsl,100,215.0,0.086281,0.004969,-0.005991,0.004969,300,300,prevalence
misogynistic,deepseek,dsl,100,278.0,0.084766,0.004883,-0.005626,0.004883,300,300,prevalence
misogynistic,deepseek,dsl,100,359.0,0.074189,0.004272,-0.005368,0.004272,300,300,prevalence
misogynistic,deepseek,dsl,100,464.0,0.077179,0.004453,-0.002955,0.004453,300,300,prevalence
misogynistic,deepseek,dsl,100,599.0,0.080637,0.004644,-0.005626,0.004644,300,300,prevalence
misogynistic,deepseek,dsl,100,774.0,0.074423,0.004295,-0.00213,0.004295,300,300,prevalence
misogynistic,deepseek,dsl,100,1000.0,0.075853,0.004379,0.000183,0.004379,300,300,prevalence
misogynistic,deepseek,ppi,100,129.0,0.089426,0.005149,-0.006596,0.005149,300,300,prevalence
misogynistic,deepseek,ppi,100,167.0,0.078661,0.004539,-0.002715,0.004539,300,300,prevalence
misogynistic,deepseek,ppi,100,215.0,0.086774,0.005003,-0.004701,0.005003,300,300,prevalence
misogynistic,deepseek,ppi,100,278.0,0.085087,0.004906,-0.004326,0.004906,300,300,prevalence
misogynistic,deepseek,ppi,100,359.0,0.074399,0.004288,-0.004317,0.004288,300,300,prevalence
misogynistic,deepseek,ppi,100,464.0,0.07711,0.004451,-0.001571,0.004451,300,300,prevalence
misogynistic,deepseek,ppi,100,599.0,0.081481,0.0047,-0.003642,0.0047,300,300,prevalence
misogynistic,deepseek,ppi,100,774.0,0.073714,0.004256,8.6e-05,0.004256,300,300,prevalence
misogynistic,deepseek,ppi,100,1000.0,0.075617,0.004364,0.001907,0.004364,300,300,prevalence
misogynistic,deepseek,ppipp,100,129.0,0.090227,0.005193,-0.007064,0.005193,300,300,prevalence
misogynistic,deepseek,ppipp,100,167.0,0.079735,0.004599,-0.003517,0.004599,300,300,prevalence
misogynistic,deepseek,ppipp,100,215.0,0.090554,0.005219,-0.005397,0.005219,300,300,prevalence
misogynistic,deepseek,ppipp,100,278.0,0.088388,0.005099,-0.003571,0.005099,300,300,prevalence
misogynistic,deepseek,ppipp,100,359.0,0.080294,0.004607,-0.008895,0.004607,300,300,prevalence
misogynistic,deepseek,ppipp,100,464.0,0.081464,0.0047,-0.003033,0.0047,300,300,prevalence
misogynistic,deepseek,ppipp,100,599.0,0.087927,0.005069,-0.004697,0.005069,300,300,prevalence
misogynistic,deepseek,ppipp,100,774.0,0.078226,0.004514,0.002515,0.004514,300,300,prevalence
misogynistic,deepseek,ppipp,100,1000.0,0.08157,0.004709,-0.000458,0.004709,300,300,prevalence
