text,x1,x2,x3,x4,x5,y
"The U. S. international trade deficit narrowed in May, as a large increase in exports of goods and services more than offset a moderate increase in imports.",2010,156,2,0,2,0
"Based on historical experience, it seems improbable that all of the large rise in multifactor productivity could be attributed to cyclical or transitory factors.",2007,161,0,0,1,0
"This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose.",2004,226,0,0,0,2
The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,2009,226,1,0,0,2
"However, we have also found that excluding volatile food and energy prices generally gives a better sense of underlying inflation pressures that are likely to persist and dominate total inflation over time.",2006,206,1,0,1,2
"In this case, there may be no problem for monetary policy.",2020,58,0,0,1,2
"In addition, U.S. inflation remains muted.",2000,42,0,0,0,0
These geopolitical events also pose downside risks to growth.,2001,61,1,0,0,0
"Rather, members agreed that inflation was likely to moderate in coming quarters,",2005,80,0,0,2,1
"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.",2018,252,0,0,1,2
"I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.",2022,202,0,0,1,2
"In the productivity boom that followed World War I, a chief technological innovation was the spread of electrification to the factory floor.",2021,140,0,0,0,2
"Major stock price indexes were up a bit over the intermeeting period, as positive first-quarter earnings reports more than offset the negative effects of higher energy prices and rising interest rates.",2017,201,2,0,0,1
"The early days of stabilization policy in the 1950s taught monetary policymakers not to attempt to offset what are likely to be temporary fluctuations in inflation.15 Indeed, responding may do more harm than good, particularly in an era where policy rates are much closer to the effective lower bound even in good times.",2004,320,0,1,2,0
"While the current episode has not yet concluded, it appears that, responding vigorously in a relatively flexible economy to the aftermath of bubbles, as traumatic as that may be, is less inhibiting to long-term growth than chronic high-inflation monetary policy.",2017,262,1,0,1,1
But I want to emphasize that we do have a commitment to raising inflation to 2 percent.,2011,87,0,0,0,0
The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.,2013,373,0,0,1,2
"Spreads on risky private-sector debt reached very low levels, and damaging spillovers to the nonfinancial sector occurred in the form of unduly high real estate prices and excessive leverage by borrowers in the housing market.",2006,226,0,0,0,1
"As a consequence, a sustainable, non-inflationary expansion is likely to involve some moderation in the growth of economic activity to a rate more consistent with the expansion of the nationâ€™s underlying productive capacity.",2017,226,1,0,1,1
Significant cost cutting by firms was thought to have led to a sizable increase in productivity growth in the first half of the year,2003,132,2,0,0,0
They noted that the economy had entered the new year with considerable momentum and very few indications that growth was moderating from what appeared to be an unsustainable rate.,1996,179,1,0,0,1
"Some participants judged the risks to the outlook for inflation as tilted to the downside, particularly in the near term, in light of the large amount of resource slack already prevailing in the economy, the significant downside risks to the outlook for real activity, and the possibility that inflation expectations could begin to decline in response to low actual inflation.",2006,376,0,1,3,0
"When governments resort to printing money to finance their spending, inflation rises and nominal assets lose their value.",2007,121,0,0,0,2
